Title	Identifier	Platforms	Website	Development Studio	Studio Location	Publisher	Sponsor	Early Access Date	Release Date	Languages	Media Format	Genres	Awards	Store	Presskit	Articles	Twitter	Development Log	Source	Online Play	Download Page	Direct Download	Trailer Video Link	Logo Direct Link	Screenshot Direct Link	Box Art Direct Link	Description	Credits	Remarks	State (released, unreleased, canceled)	Data Quality
Tournez Fromage	tournezfromage	iOS, Android		Amicale de Tournez Fromage	Lausanne/Fribourg				2017	French		One Button Fondue Action		https://itunes.apple.com/nz/app/tournez-fromage/id1295070509?mt=8&ign-mpt=uo%3D2, https://play.google.com/store/apps/details?id=ch.TournezFromage											https://is4-ssl.mzstatic.com/image/thumb/Purple128/v4/ab/7b/80/ab7b80c2-34e7-380f-b7c0-ae5543672b42/pr_source.png/600x0w.png		  Tournez Fromage, c’est toute la poésie gastronomique suisse à portée  de doigt. Dans ce jeu, pour faire rigoler la copinade autour d’une table  richement pourvue en amis et en boissons, vous devrez chacun votre tour  mobiliser les restes de votre dextérité pour planter votre pain et lui  assurer une immersion fromagère la plus sécuritaire possible. Si votre  pain ressort vous êtes sauf; s’il coule, préparez-vous à subir les  foudres de la copinade selon les règles en vigueur dans la tradition  suisse.			released	4231
Toddo Land	toddoland	iOS, WinPhone	https://www.dreipol.ch/work/toddo-land-game-fur-kinder	Dreipol	Zurich				2018	English				https://itunes.apple.com/us/app/toddo-land/id1247448938?l=de&ls=1&mt=8											https://is1-ssl.mzstatic.com/image/thumb/Purple115/v4/46/f0/b8/46f0b829-7bf6-f98e-3d48-01ee7b06b645/pr_source.jpg/1286x0w.jpg		Welcome to Toddo Land – the tropical play paradise for children aged two to five.  Immerse yourself in a fabulous world and meet the friendly islanders as you join your child on five different adventures.			Released	5230
Sprout - find your way	sproutfindyourway	PC, Mac	https://chrisel20.itch.io/sprout	Benjamin Gilli, Chris Leisi					2018			Adventure		https://chrisel20.itch.io/sprout									https://www.youtube.com/watch?v=nqvt4YdKKjg		https://img.itch.zone/aW1hZ2UvMjY4Nzc2LzEzMDA4ODMucG5n/original/wmxIT2.png		Sprout - find your way is a story adventure in which the player controls a child who is left by his mother. Driven by the question why one is left behind, the player must follow the mother. Through small interactions, the player can solve puzzles and overcome obstacles while remaining focused on the atmosphere of the world.			Released	6211
Yes Boss	yesboss	Web, PC, Mac	http://sharpedstonestudios.ch/	Sharped Stone Studios	Geneva/Lausanne				2018	English		Arcade, Survival					https://twitter.com/SharpedStoneStd			https://sharpedstonestudios.itch.io/hermit-the-sea-caterpillar	https://sharpedstonestudios.itch.io/hermit-the-sea-caterpillar		https://youtu.be/o5peK950yzA	https://img.itch.zone/aW1hZ2UvMjk0NTA5LzE0NDA3NjEuZ2lm/original/o4kMxB.gif	https://img.itch.zone/aW1hZ2UvMjk0NTA5LzE0MzgyMTQuanBn/347x500/9BbjRD.jpg	https://img.itch.zone/aW1hZ2UvMjk0NTA5LzE0NDA3NjEuZ2lm/original/o4kMxB.gif	Yes Boss! is a small game about managing your daily work in a factory and keeping your boss entertained. If you run out of money, or your boss gets bored, you lose. Spend your daytime wisely! Gather raw food from the first conveyor belt and bring it to the production chain. Turn on the cannery machine and repeat the process to earn money.  Meanwhile, beating your boss at a game of pong is the only way to prevent him to get mad and eventually fire you. Each can of fish getting out of the factory earns you 30 $. But be aware, the cost of life is increasing every day...	Dev: Jonathan Giezendanner, Art: Tristan Thévenoz, Music: Léa Pönitz		Released	9252
0 Versus 1	0versus1	PC, Mac							2019	English		Puzzle									https://ruedi.itch.io/zero-versus-one									Released	3121
Jeu de Dames	jeudedames	Smaky	http://www.smaky.ch/document.php?id=sminfo_133	Epsitec	Belmont	Epsitec			1990-12	French		Strategy							http://www.smaky.ch/document.php?id=sminfo_133						http://www.smaky.ch/image/sminfo/sminfo_133_p1.jpg		Checkers / Draughts on the Smacky microcomputer	François Hurter		Released	6151
Train	train	Smaky	http://www.smaky.ch/document.php?id=sminfo_135	Epsitec	Belmont	Epsitec			1991-2	French		Simulation							http://www.smaky.ch/document.php?id=sminfo_135						http://www.smaky.ch/image/sminfo/sminfo_135_p1.jpg					Released	5141
Blupi Explorateur	blupiexplorateur	DOS, Smaky		Epsitec	Belmont	Epsitec			1993-08-01																https://vignette.wikia.nocookie.net/blupi/images/4/4a/Blupi_Exploratuer.png/revision/latest?cb=20110128034245		Blupi Explorateur ("Blupi Explorer") is a 2D platform game where Blupi looks for treasure chests, similar to Speedy Blupi. There are places where Blupi needs a certain item to gain access to. Forcing Blupi to access an area will cost a life. Blupi can achieve extra lives by collecting flowers and hearts, both of which cannot be collected if Blupi already has enough lives.	Daniel Roux		released	4140
Minicare	minicare	Smaky	http://www.smaky.ch/document.php?id=sminfo_156	Epsitec	Belmont	Epsitec			1993-09	French		Simulation							http://www.smaky.ch/document.php?id=sminfo_156						http://www.smaky.ch/image/sminfo/sminfo_156_p3.jpg					Released	5141
Ravage	ravage	DOS	https://web.archive.org/web/19980214084629/http://www.ife.ee.ethz.ch:80/~ammann/alphahelix/ravage/	Alpha Helix	Zurich				1996-09-01															https://web.archive.org/web/19980214084629im_/http://www.ife.ee.ethz.ch:80/~ammann/alphahelix/ravage/title.jpg	http://web.archive.org/web/19990222152322im_/http://www.ife.ee.ethz.ch:80/~ammann/alphahelix/ravage/menu1.gif		Ravage, the latest game from Alphahelix, was released on September 1st, 1996.  It features  9 levels (2 levels in the shareware release) Multiple plane scrolling Stunning explosions Intelligent enemies Great graphics f/x Realistic sound effects and a dance music inspired soundtrack also included is a 2 player/1 PC game mode where you and your buddy both fight against evil enemies on the same screen. Furthermore, you can upgrade your battleship in a shop with weapons and other goodies.			released	5130
Bulldozer	bulldozer	Smaky	http://www.smaky.ch/document.php?id=sminfo_185	Epsitec	Belmont	Epsitec			1997-12	French		Action, strategy							http://www.smaky.ch/document.php?id=sminfo_185						http://www.smaky.ch/image/sminfo/sminfo_185_p1.jpg					Released	5141
Speedy Eggbert	speedyeggbert	Windows	http://www.ceebot.com/blupi/eggbert-e.php	Epsitec	Belmont	Epsitec			1998-09-13												http://www.ceebot.com/blupi/load-e.php		https://www.youtube.com/watch?v=MV-2RUseCys		http://www.mobygames.com/images/shots/l/211116-speedy-eggbert-windows-screenshot-macro-level-map-only-one.jpg		The whole game is centered on a central hub, in which the player character Blupi (alias Eggbert) can access all of the game's seven themed worlds. At first he can only go to the practice level, where he will learn most of the controls listed above. The rest of the controls are not shown to during the practice game; they are left for the player to discover these moves while passing through the levels. The game has over 40 levels, ranging from easy to relatively difficult. The objective of each level is to collect all the treasure chests and then move to the endpoint. The game includes enemies which Eggbert cannot destroy normally, but can be destroyed using vehicles. The game lets Eggbert drive a Helicopter, a Glue Tank, a Jeep and a Skateboard. The Jeep and Skateboard allow Eggbert to travel past mines and detonate them without losing a life. Glue balls can be collected by Eggbert, where they can be fired as weapons from the Glue Tank or Helicopter to defeat enemies. There are also deductive problems to be solved and errors may make finishing the level impossible.	Daniel Roux		released	8140
Colobot	colobot	Windows, Linux	http://colobot.info/	TerranovaTeam, Epsitec	Belmont	Epsitec			2001-08-20										http://github.com/colobot		http://colobot.info/download-colobot-gold/		https://www.youtube.com/watch?v=z67XZ155b6g		http://www.mobygames.com/images/shots/l/36637-colobot-windows-screenshot-programming-console.jpg		Colobot (Colonize with Bots) is an educational real-time strategy video game featuring 3D graphics. The objective of the game is to find a planet for colonization by the human race by establishing a basic infrastructure on the surface and eliminating any alien life forms endangering the expedition. The game takes place on the Earth, Moon, and 7 fictional planets. The main feature of the game, which makes it educational, is the possibility for players to program their robots using a programming language similar to C++ or Java.	Daniel Roux		released	9140
Speedy Eggbert 2	speedyeggbert2	Windows	http://www.ceebot.com/blupi/speedy-e.php	Epsitec	Belmont	Epsitec			2001-09-13														https://www.youtube.com/watch?v=uWoXBzrJSvQ		https://i.ytimg.com/vi/R4HpaLH7HbA/hqdefault.jpg		Speedy Blupi II is an action game for PC compatibles. Speedy Blupi is ideal for ages 10 to 99. Speedy Blupi II is the sequel to the game Speedy Eggbert published by eGames. 	Daniel Roux		released	6140
Streamf1sh1ng	streamf1sh1ng	Installation	http://www.and-or.ch/streamfishing/	and-or					2004-11-06														https://www.youtube.com/watch?v=NvBHobX3KiU		http://www.and-or.ch/streamfishing/pictures/screen.jpg		Streamf1sh1ng: various realities, one interactive space, constant flow of real life ideas (Fireball). Streamf1sh1ng depicts a real-life pattern by pulling together individual fragments of reality into a virtual image. The fragments of reality are thoughts merged into a constant stream of words and thoughts. Making this stream of thoughts visible enables the individual thoughts to interact which each other. This means: the virtual image or world is revealed as an interactive reality of human being and machine and can be used for further communication and exchange of ideas.  You are fishing in a constant stream of thoughts. Catch someone else's thought and put it in your bucket or throw your own idea into the stream and see what happens. The constant stream is supplied by means of a search-engine. Any input in this particular search-engine will show up in the stream. Try to communicate via search-engine.			released	6110
Mentos	mentos	Java	http://www.bitforge.ch/portfolio/mentos/	bitforge					2005-10-01																https://www.bitforge.ch/home/wp-content/uploads/2013/06/mentos_city_mobile_2_ingame.jpg		Das Mentos City Game basiert auf Pacman – man rettet die Schafe und verjagt die Wölfe. Wir haben das Flash Spiel innert kürzester Zeit, dank unserer  gesammelten Erfahrung und unseren In-House entwickelten Technologien,  nahezu 1:1 für Mobiltelefone umgesetzt.  Aufgaben			released	5110
Midnight Riders	midnightriders	Java	http://www.bitforge.ch/portfolio/midnight-riders/	bitforge					2007-10-01																https://www.bitforge.ch/home/wp-content/uploads/2013/06/bitforge_midnightriders_4_in_game.jpg					released	4110
Isudoku	isudoku	Java	http://www.bitforge.ch/portfolio/isudoku/	bitforge					2008-01-01																https://www.bitforge.ch/home/wp-content/uploads/2013/06/fdg_isudoku_2_game.jpg		Wer kann sich noch an die grosse Sudoku-Schwemme von 2008 erinnern? iSudoku ist die ultimative Sudoku App. 15 verschiedene Sudoku-Varianten mit jeweils dutzenden Rätseln, nach Schwierigkeit sortiert, sorgen für stundenlangen Rätselspass.			released	5110
Memento	memento	iPhone	http://mobile.sumointeractive.com/	Sumo Interactive		Nimeo Sarl			2008-11-08					https://itunes.apple.com/fr/app/switzerland-by-memento/id295630558?mt=8											http://is3.mzstatic.com/image/thumb/Purple/v4/48/90/33/48903368-ea35-b6ce-bf82-ce7d77a375cf/source/320x460bb.jpg		Switzerland by Memento, le jeu de mémoire sur la Suisse.			released	5220
Farming Simulator 2008	farmingsimulator2008	PC	https://www.farming-simulator.com/	Giants Software	Schlieren	Focus Home Interactive, Astragon			2009-01	English, German		Simulation							https://www.mobygames.com/game/farming-simulator-2008						https://www.mobygames.com/images/shots/l/890422-farming-simulator-2008-windows-screenshot-your-farm.jpg	https://www.mobygames.com/images/covers/l/408178-farming-simulator-2008-windows-front-cover.jpg	Farming Simulator 2008 lets you take over the position of a farmer, simulating all the tasks that need to be done on a farm. Plow the field, sow and harvest crops and transport everything. A lot of machinery is included, weather and different daylight conditions are simulated. Several missions as well as a free roam mode are included.			Released	6241
Globulation 2	globulation2	Linux, Windows, macOS	https://globulation2.org	originaly by Stéphane Magnenat and Luc-Olivier de Charrière, then developed as open-source by a team online	Lausanne, and then Internet			2000	2009-02-02	multiple		RTS						https://globulation2.org/wiki/Changes	https://bitbucket.org/giszmo/glob2		https://globulation2.org/wiki/Download_and_Install		https://www.youtube.com/watch?v=JSP72nOazaI		https://globulation2.org/wiki/images/f/f0/Beta2_BuildingCamp.jpg		Globulation 2 is an innovative Real-Time Strategy (RTS) game which reduces micro-management by automatically assigning tasks to units.	https://bitbucket.org/giszmo/glob2/src/8d9a4b9a1b90c01763cb1c2a6672307f64664033/data/authors.txt?at=default&fileviewer=file-view-default	open source	released	10142
Spirit Fever	spiritfever	Browser	http://www.spirit-fever.com/game/	Joëlle Krummenacher, Florian Glardon	Renens (VD)		Flareware Cheer	2009-01-30	2009-04-01	English, French, German, Japanese, Norwegian, Slovene, (Swedish, Macedonian, Spanish, Dutch and Malay to come)						https://www.develop-online.net/press-releases/spirit-fever-the-free-cheerleading-management-game-will-launch-in-april-for-the-cheerleading-world-competition/0130667								https://web.archive.org/web/20110210034555im_/http://www.spirit-fever.com/game/images/layout/banner.png	http://images.bbgsite.com/games/images/20090619/spiritfever/s_spritefever_09.jpg		Spirit Fever is a Persistent Browser-Based Game, where squad leaders play each day to improve cheerleading skills and progress through the game. Spirit Fever players decide what cheerleading skill or activity to practice to increase the team level. Each practice element involves a mini-game that trains the player’s speed, comparison, calculation, and memory skills. Spirit Fever‘s goal is to train the cheerleaders and use their skills to compete against other players. The Spirit Fever site will also offer a variety of mini-games and a massive library of cheerleading videos and photos. Spirit Fever is the only Internet game where teenagers can safely learn about cheerleading while playing.	designed and produced by Joëlle Krummenacher, and programmed by Florian Glardon. Freelance artist Tina Pua’a has lent her creative skills to the project		released	6151
Colorbind	colorbind	iOS	http://www.nonverbal.ch/colorbind.html	Nonverbal					2010-02-18					http://itunes.apple.com/WebObjects/MZStore.woa/wa/viewSoftware?id=356126423&mt=8									https://www.youtube.com/watch?v=_Hx7u5Uiboo		http://www.nonverbal.ch/2.png		Colorbind is a puzzle game for the iPhone/iPod touch. Join the dots by weaving color strips with your finger.			released	6210
Beach Bowling 3D	beachbowling3d	iOS	http://www.bitforge.ch/portfolio/beach-bowling-3d/	bitforge					2010-07-01					https://itunes.apple.com/ch/app/beach-bowling-3d/id366644804?mt=8									https://www.youtube.com/watch?v=XF_wxNtyWks		https://www.bitforge.ch/home/wp-content/uploads/2013/06/fdg_beach_bowling_screenshot11.jpg		Dies ist kein Traum! In Beach Bowling 3D wirst du von hübschen Bikini-Mädels bewundert, während du gekonnt deine Strikes wirfst. Bowling am Strand, bei Tag und bei Nacht – das gibt es nur hier! In 5 Schwierigkeitsstufen darfst du dein Können unter Beweis stellen. Genieße dabei die phantastische 3D Grafik und realistische Physiksimulation. 			released	6210
Beyond Ynth	beyondynth	iOS	http://www.fdg-entertainment.com/iPhone-Games/Beyond-Ynth.html	krabl.com					2010-09-01				IMGA Grand Prix	https://itunes.apple.com/app/beyond-ynth/id386303262?mt=8									https://www.youtube.com/watch?v=GiotJ_tDIcQ		http://is5.mzstatic.com/image/thumb/Purple122/v4/95/40/21/954021ec-5dbc-8e42-a112-c533075aa137/source/520x293bb.jpg	http://www.fdg-entertainment.com/images/FDG/products/iphone/beyondynth/banner_beyondynth-2.png	This is the story of Kribl, a little bug on a big journey to bring light back to the Kingdom of Kriblonia. Help him to successfully traverse unexplored terrifying territories and find all the light-giving Dazzly Diamonds that were stolen by the Four Dark Spiders of the Apocalypse!			released	6320
Farming Simulator 2011	farmingsimulator2011	PC, Mac	https://www.farming-simulator.com/	Giants Software	Schlieren	Focus Home Interactive, Astragon			2010-10-29	English, German		Simulation							https://www.mobygames.com/game/farming-simulator-2011						https://www.mobygames.com/images/shots/l/633917-farming-simulator-2011-windows-screenshot-plowing.jpg	https://www.mobygames.com/images/covers/l/253031-farming-simulator-2011-windows-front-cover.jpg	In Farming Simulator 2011 the player takes on the role of a young farmer faced with the test of building a successful business. Beginning with just a thousand acres of countryside and a small collection of vehicles, progress in the game is achieved by completing a range of farming tasks over 18-hour days, like breeding and feeding cows, spreading manure, milking, plowing, seeding and baling. Eventually wealth to built up to invest in newer and better equipment and machinery. Licensed manufactures in the game include Deutz-Fahr, Krone, Horsch, Pöttingen, and Vogel & Noot. Equipment includes tractors, combine harvesters, plows, seeders and balers. Next to the career mode there is a multiplayer mode to run a farm together with other players, both online and through a local LAN.			Released	6241
The Path of Go	thepathofgo	Xbox 360 Live Arcade		Codebox					2010-12-15					http://marketplace.xbox.com/en-US/Product/The-Path-of-Go/66acd000-77fe-1000-9115-d8025841099f											http://download.xbox.com/content/images/66acd000-77fe-1000-9115-d8025841099f/1033/screenlg2.jpg		Discover the ancient board game of Go and take your Avatar on an unexpected HD adventure full of challenge! Learn the basics and test your abilities using cutting-edge AI from Microsoft Research. Pit your skills against the world on Xbox LIVE. The ultimate Go experience for players of all skill levels: Dare you walk The Path of Go?			released	5210
Dice Hockey	dicehockey	iOS	http://www.stelexsoftware.com/dice-hockey-eng	Stelex Software	Bellinzona				2011-01-12	English, German, French, Italian		Sport, Boardgame		https://itunes.apple.com/us/app/dice-hockey/id413634851?mt=8		http://www.stelexsoftware.com/dicono-di-noi-2017	https://twitter.com/StelexSoftware						https://www.youtube.com/watch?v=l0k__3Zm3mQ		https://static.wixstatic.com/media/7875f4_be6aeaaa355011826c97b925ae216468.png/v1/fill/w_335,h_223,al_c,q_80,usm_0.66_1.00_0.01/7875f4_be6aeaaa355011826c97b925ae216468.png		The game is very simple: it is a classic ice hockey game played in shifts, like a chess game. In fact, the surface of the ice rink is divided into boxes, just like a chess board. Each player has two dice and, with the result of the throw, get their respective moves. Then you can use the moves you have to perform certain tasks with your players on the ice.  A mix of tactics and luck that will test your ability to handle various situations and experiencing the thrill of playing an ice hockey game. Of course you have to score more goals than your adversary to win the game.  Features: • Play a single game against the computer or play a multi-player game against a friend. • Play the playoffs and try to win the Cup. • Includes 22 national teams from around the World. • Officially licensed: includes all Swiss National League teams. • Facebook connect feature: share your stats with your friends. • Game compatible with iPhone/iPad/iPod Touch. • Multitasking. • Game available in English, French, German and Italian.			released	6233
Demolition Company	demolitioncompany	PC, Mac	https://www.demolitioncompany-thegame.com/	Giants Software	Schlieren	Astragon			2011-08-05	English, German		Simulation		https://www.demolitioncompany-thegame.com/purchase.php					https://www.mobygames.com/game/windows/demolition-company-gold-edition		https://store.steampowered.com/app/65270/Demolition_Company_Gold_Edition/				https://www.mobygames.com/images/promo/l/184751-demolition-company-gold-edition-screenshot.jpg		Take a seat at the controls of a variety of authentic and detailed construction and demolition machines. Bring old buildings to the ground with wrecking balls and excavators. Tear down walls manually with the jackhammer, or place explosive charges, hit the button and watch the rubble and dust clouds fly! Use the wheel loader to transport rubble to the debris crusher where it gets pulverized. You can invest you hard-earned money in new vehicles which in turn unlock new assignments in the city and tutorials in your company's practice area.			Released	8241
Evidence	evidence	PC	http://wuthrer.net/evidence/	Wuthrer					2011-12-03													http://dl.dropbox.com/u/14394369/Evidence.zip	https://vimeo.com/33069516		http://wuthrer.net/evidence/img/01.png		Evidence is an independant, free, single player game. You’ll have to travel through teddy bears corpses lying all over a strange place. Nobody seems to love you, except for that strange post-it following you everywhere. But be careful, he doesn't seem to always tell the truth. There’s a lot of ennemies, all weird ones. Don’t be afraid, there’s one unique way to escape from each of them.  Everything you'll encounter can be explained. Jump, run and hide yourself until you reach the end of your journey, then everything will be fine, perhaps…			released	7110
Jimmy Flitz	jimmyflitz	iOS	https://itunes.apple.com/us/app/id519502116	Roland Zoss					2012-04-21	English				https://itunes.apple.com/us/app/id519502116											http://is1.mzstatic.com/image/thumb/Purple/v4/e2/27/71/e2277167-6d28-dd2b-49fc-8e86fba808c9/source/320x480bb.jpg		«Once the cat runs out of the house, a cheeky little mouse wears her hat and blouse!»  Swiss children laugh with the singing mouse Jimmy Flitz from the books and audiobooks by Roland Zoss.  In this app, youngsters can learn to put on the right clothes for the season with Jimmy before going out to explore the world.			released	5220
Armadillo	armadillo	iOS	http://www.armadillo-game.ch/	Ralf Mauerhofer, Stefan Spieler					2012-06-01			Y		https://itunes.apple.com/en/app/armadillo/id511279805?mt=8	http://www.armadillo-game.ch/index.php?page_id=1								https://vimeo.com/42754240				Armadillo is an action puzzle game for the iPhone/iPad, in which the player helps armadillos to defend themselves against the evil machines and beat humankind with their own tools of destruction.			released	5221
Swiss Games	swissgames	iOS, Android	http://www.bitforge.ch/portfolio/swiss-games/	bitforge			EDA Präsenz Schweiz		2012-07-01					https://itunes.apple.com/ch/app/swiss-games/id529055580, https://play.google.com/store/apps/details?id=ch.admin.eda.swissgames											https://www.bitforge.ch/home/wp-content/uploads/2013/06/eda_swiss_games_13_heidi_biker.jpg		Swiss Games, erstellt für das House of Switzerland an der Olympiade London 2012, ist eine Sammlung von drei Spielen: Ein klassisches Jump n Run, eine moderne Talerschwingen-Adaption und ein Augmented Reality Schiessbudenspiel. In den Spielrunden eingesammelte Münzen können in einem ingame Shop gegen Verbesserungen für die Spiele eingetauscht werden. Während der Sommerolympiade 2012 in London konnten Spielmünzen gegen Geschenke aus dem House of Switzerland Shop eingelöst werden.			released	5210
Farming Simulator 2013	farmingsimulator2013	PC, Mac, PS3, Xbox360	https://www.farming-simulator.com/	Giants Software	Schlieren	Focus Home Interactive			2012-10-25	English, German		Simulation							https://www.mobygames.com/game/windows/farming-simulator-2013						https://www.mobygames.com/images/shots/l/592378-farming-simulator-2013-windows-screenshot-be-your-own-alien.jpg	https://www.mobygames.com/images/covers/l/250195-farming-simulator-2013-windows-front-cover.png	Farming Simulator 2013 is the 2012 edition in the series of farming simulation games. Compared to the earlier titles it includes a host of new features and improvements. In the career mode the player takes on the role of a farmer and experiences the farming life in a new and freely accessible landscape. It has an economy system with variable corn prices that allows the player to earn money more strategically and invest in new buildings, vehicles and tools. There are over 100 authentic tractors, harvesters and tools of licensed manufacturers such as Case IH, Deutz-Fahr, Lamborghini, Same, Horsch, and Amazone. This edition introduces animal husbandry and purchasable fields where objects and buildings can be constructed. There are now three animal types (chicken, sheep and cows) compared to just cows before, and more diverse crops including sugar beet and potatoes. The growth state of crops is now influenced by the weather. Up to 10 players can manage a farm together online or through a local network. Mods, vehicles and equipment can also be shared with other players.			Released	6241
Ski Region Simulator 2012	skiregionsimulator2012	PC, Mac	https://www.skiregion-simulator.com/	Giants Software	Schlieren	Astragon			2013-01-16	English, German		Simulation		https://www.skiregion-simulator.com/sr2012Purchase.php?lang=en					https://www.mobygames.com/game/ski-region-simulator-gold-edition		https://store.steampowered.com/app/270950/Ski_Region_Simulator__Gold_Edition/				https://www.mobygames.com/images/promo/l/184765-ski-region-simulator-gold-edition-screenshot.jpg	https://www.skiregion-simulator.com/images/srsBoxBig_en.jpg	The "Ski Region Simulator Gold Edition" contains plenty of features and possibilities: In the career mode you enter a unique and large winter landscape and experience the workaday life in the swiss alps in a completely adapted and freely accessible world.			Released	8341
Patent Blaster	patentblaster	Win, Mac, Linux	http://zarkonnen.itch.io/patent-blaster	David Stark	Zurich				2013-03-13					https://zarkonnen.itch.io/patent-blaster		https://indiegraph.wordpress.com/2013/03/25/recommended-game-patent-blaster/	https://twitter.com/zarkonnen_com						https://www.youtube.com/watch?v=LFV_pQUt0t4		https://img.itch.zone/aW1hZ2UvNDUwMi8xNTMzNy5wbmc=/original/q1ipnf.png		Let's just say I'm not very fond of the patent system. My way of dealing: making Patent Blaster, a sidescrolling explodey kind of game based on awful patent art come to life. Your mission: invalidate those patents using any means necessary.			released	6232
Farming Simulator 3D	farmingsimulator3d	3DS	https://www.farming-simulator.com/	Giants Software	Schlieren	Focus Home Interactive			2013-06-23	English, German		Simulation							https://www.mobygames.com/game/farming-simulator-3d						https://www.mobygames.com/images/promo/l/298337-farming-simulator-3d-screenshot.jpg	https://www.mobygames.com/images/covers/l/442497-farming-simulator-3d-nintendo-3ds-front-cover.png	Following Farming Simulator's incredible success on the PC, experience now Farming Simulator in 3D on Nintendo 3DS! Put Farming Simulator in your pocket and play wherever you are, whenever you want, and in 3D!			Released	6241
Black Island	blackisland	Oculus Rift	http://kaorin.itch.io/black-island	wotokah					2013-10-30					https://kaorin.itch.io/black-island	http://wotokah.makegames.ch/impressions/										https://img.itch.zone/aW1hZ2UvMzg2LzE3NTMuanBn/original/rp0lm8.jpg		Black Island is an open world horror adventure game for the Oculus Rift. We are excited to have worked with the Oculus Rift since it was available to developers. In Black Island, you have to navigate a dark and mysterious tropical island to complete objectives, while learning more about the island and yourself. Only by completing your quest, you can escape the island again.			released	5220
Journey of a Roach	journeyofaroach	PC, Mac, Linux	https://www.behance.net/gallery/18015433/behance.net	Koboldgames	Brugg	Daedalic Entertainment			2013-11-04	 English, French, Italian, German, Spanish, Arabic, Czech, Danish, Dutch, Finnish, Japanese, Norwegian, Polish, Portuguese-Brazil, Russian, Swedish, Turkish, Traditional Chinese		Adventure, Indie	Pro Helvetia Swiss Game Selection 2012/2013	http://store.steampowered.com/app/255300/Journey_of_a_Roach/		http://www.adventuregamers.com/articles/view/25677, http://www.spielemagazin.de/spiele/spieletests/journey-of-a-roach-pc/, http://www.looki.de/journey_of_a_roach_test_a5810_3.html	https://twitter.com/Koboldgames						https://www.youtube.com/watch?v=f-D8Iud9eZM	http://cdn.edgecast.steamstatic.com/steamcommunity/public/images/apps/255300/e3e108a70bfd9bed91f1ccbbabe59c0fdeed46eb.jpg	http://cdn.edgecast.steamstatic.com/steam/apps/255300/ss_c60e35346ceabb3b0ea2b81fe1b9cf9d321b7a81.1920x1080.jpg?t=1478168141	https://gamefiles.alphacoders.com/boxart/original/front/18240-1.jpg	Nuclear war, post apocalypse, barren and lifeless wastelands. Lifeless? Not so much! Mutated insects have made their home in a bomb shelter and they're set on exploring the world. Let this point&click adventure welcome you to a hilariously bizarre end time world and join the roaches Jim and Bud on their journey to the surface.			released	6363
Farming Simulator 14	farmingsimulator14	PC, Mac, 3DS, PSVita, Smartphone	https://www.farming-simulator.com/	Giants Software	Schlieren	Focus Home Interactive			2013-11-18	English, German		Simulation							https://www.mobygames.com/game/farming-simulator-14						https://www.mobygames.com/images/promo/l/169274-farming-simulator-14-screenshot.png	https://www.mobygames.com/images/covers/l/382014-farming-simulator-14-ps-vita-front-cover.png	Farming Simulator 14 invites you into the challenging world of a modern day farmer: cow husbandry, plant, harvest and trade in crops… Own and operate your very own farm…wherever you go!			Released	6241
Yamy et les Aliments	yamyetlesaliments	iOS, Android, Browser, PC, Mac	https://www.behance.net/gallery/18015481/Yamy-et-les-aliments	Koboldgames	Brugg		Alimentarium, Pädagogische Hochschule Schwyz		2014-04-01	English, French, German		Serious Game		https://itunes.apple.com/ch/app/yamy-et-les-aliments/id1019436095?mt=, https://play.google.com/store/apps/details?id=ch.alimentarium.yela			https://twitter.com/Koboldgames			https://www.alimentarium.org/en/games/yamy-and-food-pyramid				https://mir-s3-cdn-cf.behance.net/project_modules/max_1200/4b2c8018015481.562c2c91ec996.png	https://mir-s3-cdn-cf.behance.net/project_modules/fs/2f879918015481.562c2c9238c09.png	https://mir-s3-cdn-cf.behance.net/project_modules/max_1200/4b2c8018015481.562c2c91ec996.png	The game “Yamy and the Food Pyramid” is designed for children between eight and twelve years of age. In the game, they direct a little monster with an insatiable appetite who loves to eat everything that crosses his path. Feeding the monster a healthy diet means he can’t have too much or too little to eat. Furthermore, players have to make sure he gets a varied diet. The game is based on real calorie counts and scientific dietary recommendations for children of this age. The game teaches children about the energy value of foods and the healthy composition of a food pyramid.			released	6342
Dungeon Clicker	dungeonclicker	iOS, Android	http://www.dungeonclicker.com/	Sebastian Tobler					2014-04-20					https://itunes.apple.com/us/app/dungeon-clicker/id807783916?ls=1&mt=8	http://www.dungeonclicker.com/dcpresskit.zip								https://www.youtube.com/watch?v=XQLNykkG2ww		http://www.dungeonclicker.com/pictures/dcscreen3.jpg		Don’t have time to play through Diablo? Getting tired of World of Warcraft? We’ve got you covered! ‘Dungeon Clicker’ is the answer to all your gamer needs, as it brings you the core essence of every action RPG in a distilled form for you to enjoy on a mobile device: Getting loot!			released	6220
Elarooh	elarooh	iOS, Android	http://elarooh.digidingo.com/	digiDingo					2014-05-20					https://itunes.apple.com/app/elarooh/id848291262?mt=8, https://play.google.com/store/apps/details?id=com.digidingo.elarooh									https://www.youtube.com/watch?v=3Evi13AGZm0		http://elarooh.digidingo.com/Fuchs_Gif_750px.gif		Delve into the fascinating world of Elarooh! Unleash the forces of nature to save the spirits of the magic forest. Prove your whit - only the smartest of you will solve the tricky riddles and minigames. Will you be able to solve the mystery of Elarooh?			released	6210
